Model,QWK,Accuracy,F2,Remarks
SVC_no_bin_with bias_UncertaintyRating_MSFLCont_improvedsentiment10cv,0.19359995781700995,0.7446808510638296,0.2243802040262811,"SVC, no binning, with biased labels, with UncertaintyRating and MS+FL as conts, with improved sentiment,with OHE and scaling_10cv"

Ridge_no_bin_with bias_UncertaintyRating_MSFLCont_improvedsentiment10cv,0.1831471346120578,0.7375641966250917,0.22958637085838177,"Ridge, no binning, with biased labels, with UncertaintyRating and MS+FL as conts, with improved sentiment,with OHE and scaling_10cv"

K-Neighbors Classifier_no_bin_with bias_UncertaintyRating_MSFLCont_improvedsentiment10cv,0.21264151814312232,0.7214233308877477,0.3286564392627852,"K-Neighbors Classifier, no binning, with biased labels, with UncertaintyRating and MS+FL as conts, with improved sentiment,with OHE and scaling_10cv"

Decision Tree_no_bin_with bias_UncertaintyRating_MSFLCont_improvedsentiment10cv,0.24476789612724348,0.6951577402787967,0.45718948477959315,"Decision Tree, no binning, with biased labels, with UncertaintyRating and MS+FL as conts, with improved sentiment,with OHE and scaling_10cv"

Random Forest_no_bin_with bias_UncertaintyRating_MSFLCont_improvedsentiment10cv,0.2963761297025658,0.7575935436537049,0.36390133033654287,"Random Forest, no binning, with biased labels, with UncertaintyRating and MS+FL as conts, with improved sentiment,with OHE and scaling_10cv"

XGB Classifier_no_bin_with bias_UncertaintyRating_MSFLCont_improvedsentiment10cv,0.31684169837703546,0.7541452677916362,0.41469488252276365,"XGB Classifier, no binning, with biased labels, with UncertaintyRating and MS+FL as conts, with improved sentiment,with OHE and scaling_10cv"

LGBM Classifier_no_bin_with bias_UncertaintyRating_MSFLCont_improvedsentiment10cv,0.3185840926430445,0.7586940572267058,0.40202263512018926,"LGBM Classifier, no binning, with biased labels, with UncertaintyRating and MS+FL as conts, with improved sentiment,with OHE and scaling_10cv"

AdaBoost Classifier_no_bin_with bias_UncertaintyRating_MSFLCont_improvedsentiment10cv,0.22364689383535014,0.7413059427732941,0.28668237720051676,"AdaBoost Classifier, no binning, with biased labels, with UncertaintyRating and MS+FL as conts, with improved sentiment,with OHE and scaling_10cv"

voting__no_bin_with bias_UncertaintyRating_MSFLCont_improvedsentiment_10cv,0.29217126475443633,0.7292736610418196,0.44715447154471544,"VotingClassifier, no binning, with biased labels, with UncertaintyRating and MS+FL as conts, with sentiments, with OHE and scaling"

voting__no_bin_with bias_UncertaintyRating_MSFLCont_10cv,0.2704556658919641,0.7212032281731474,0.4311279826464208,"VotingClassifier, no binning, with biased labels, with UncertaintyRating and MS+FL as conts, with OHE and scaling"

final_model,0.3240027706474351,0.7410124724871606,0.47103410936654033,Final output for submission.

